@relation bloodtransfusion
@attribute Recency(months) integer [0, 74]
@attribute Frequency(times) integer [1, 50]
@attribute Monetary(c.c.Blood) integer [250, 12500]
@attribute Time(months) integer [2, 98]
@attribute Donated(yes/no) {1, 0}
@inputs Recency(months), Frequency(times), Monetary(c.c.Blood), Time(months)
@outputs Donated(yes/no)
@data
2, 20, 5000, 45, 1
1, 12, 3000, 35, 0
2, 6, 1500, 15, 1
4, 8, 2000, 21, 0
2, 9, 2250, 36, 0
2, 2, 500, 2, 0
4, 19, 4750, 69, 1
2, 6, 1500, 28, 0
4, 9, 2250, 38, 1
2, 5, 1250, 26, 0
4, 5, 1250, 23, 0
4, 11, 2750, 61, 0
2, 4, 1000, 26, 0
4, 3, 750, 16, 0
2, 7, 1750, 58, 1
2, 1, 250, 2, 0
4, 12, 3000, 88, 0
4, 4, 1000, 26, 0
4, 7, 1750, 52, 0
2, 5, 1250, 47, 1
9, 8, 2000, 38, 1
4, 1, 250, 4, 0
14, 7, 1750, 26, 0
8, 8, 2000, 52, 1
14, 13, 3250, 57, 0
14, 5, 1250, 28, 0
2, 3, 750, 52, 0
11, 5, 1250, 38, 0
11, 2, 500, 17, 0
14, 4, 1000, 28, 1
11, 2, 500, 21, 0
4, 2, 500, 41, 0
16, 5, 1250, 40, 1
14, 1, 250, 14, 0
14, 7, 1750, 72, 0
14, 1, 250, 14, 0
18, 2, 500, 23, 0
16, 1, 250, 16, 0
16, 5, 1250, 60, 0
11, 3, 750, 76, 0
23, 2, 500, 28, 0
21, 1, 250, 21, 0
21, 1, 250, 21, 0
21, 1, 250, 21, 0
22, 1, 250, 22, 1
23, 1, 250, 23, 0
16, 2, 500, 70, 0
3, 10, 2500, 33, 1
2, 5, 1250, 16, 1
4, 8, 2000, 28, 0
2, 7, 1750, 32, 1
7, 14, 3500, 48, 0
4, 6, 1500, 30, 0
4, 16, 4000, 98, 1
2, 2, 500, 11, 1
2, 1, 250, 2, 0
2, 3, 750, 22, 0
12, 11, 2750, 39, 0
9, 3, 750, 14, 0
4, 1, 250, 4, 0
11, 16, 4000, 89, 0
14, 7, 1750, 35, 0
11, 8, 2000, 52, 1
2, 2, 500, 33, 0
14, 4, 1000, 26, 0
14, 7, 1750, 45, 0
16, 3, 750, 23, 0
16, 6, 1500, 81, 0
16, 5, 1250, 71, 0
21, 3, 750, 40, 0
21, 1, 250, 21, 0
23, 1, 250, 23, 0
23, 1, 250, 23, 0
23, 2, 500, 38, 0
