@relation bloodtransfusion
@attribute Recency(months) integer [0, 74]
@attribute Frequency(times) integer [1, 50]
@attribute Monetary(c.c.Blood) integer [250, 12500]
@attribute Time(months) integer [2, 98]
@attribute Donated(yes/no) {1, 0}
@inputs Recency(months), Frequency(times), Monetary(c.c.Blood), Time(months)
@outputs Donated(yes/no)
@data
1, 16, 4000, 35, 1
1, 13, 3250, 47, 0
2, 15, 3750, 49, 1
2, 8, 2000, 28, 1
2, 4, 1000, 14, 1
2, 4, 1000, 16, 0
2, 7, 1750, 35, 1
12, 11, 2750, 23, 0
0, 8, 2000, 59, 0
2, 10, 2500, 64, 0
2, 12, 3000, 95, 0
4, 6, 1500, 39, 0
2, 1, 250, 2, 0
2, 1, 250, 2, 0
2, 1, 250, 2, 0
2, 2, 500, 16, 0
4, 1, 250, 4, 1
4, 1, 250, 4, 0
4, 3, 750, 24, 0
4, 1, 250, 4, 0
4, 1, 250, 4, 0
11, 2, 500, 11, 0
2, 3, 750, 38, 1
4, 4, 1000, 43, 1
11, 8, 2000, 48, 0
14, 16, 4000, 70, 0
11, 2, 500, 14, 0
11, 5, 1250, 35, 0
4, 5, 1250, 74, 0
11, 2, 500, 16, 0
14, 4, 1000, 26, 0
9, 5, 1250, 51, 1
14, 16, 4000, 98, 0
11, 1, 250, 11, 0
11, 5, 1250, 50, 0
14, 2, 500, 21, 1
14, 1, 250, 14, 0
9, 3, 750, 52, 0
11, 4, 1000, 61, 0
16, 1, 250, 16, 0
21, 2, 500, 23, 0
23, 8, 2000, 64, 0
21, 1, 250, 21, 0
23, 1, 250, 23, 0
21, 6, 1500, 86, 0
23, 4, 1000, 87, 0
38, 1, 250, 38, 0
40, 1, 250, 40, 0
2, 41, 10250, 98, 1
2, 13, 3250, 32, 1
4, 33, 8250, 98, 1
2, 6, 1500, 22, 1
2, 4, 1000, 14, 1
2, 2, 500, 4, 1
4, 2, 500, 4, 1
4, 6, 1500, 35, 0
2, 1, 250, 2, 0
4, 11, 2750, 95, 0
4, 1, 250, 4, 0
4, 7, 1750, 62, 0
4, 1, 250, 4, 0
11, 6, 1500, 41, 0
14, 2, 500, 14, 0
11, 7, 1750, 75, 0
16, 6, 1500, 50, 0
14, 1, 250, 14, 0
14, 3, 750, 35, 0
21, 2, 500, 21, 0
16, 1, 250, 16, 0
16, 1, 250, 16, 0
16, 4, 1000, 58, 0
23, 3, 750, 35, 0
23, 1, 250, 23, 1
23, 1, 250, 23, 0
72, 1, 250, 72, 0
