@relation bloodtransfusion
@attribute Recency(months) integer [0, 74]
@attribute Frequency(times) integer [1, 50]
@attribute Monetary(c.c.Blood) integer [250, 12500]
@attribute Time(months) integer [2, 98]
@attribute Donated(yes/no) {1, 0}
@inputs Recency(months), Frequency(times), Monetary(c.c.Blood), Time(months)
@outputs Donated(yes/no)
@data
4, 4, 1000, 4, 0
2, 5, 1250, 16, 0
4, 20, 5000, 69, 1
2, 2, 500, 2, 0
4, 8, 2000, 26, 1
2, 7, 1750, 29, 0
2, 4, 1000, 16, 0
4, 17, 4250, 71, 1
2, 4, 1000, 16, 1
4, 2, 500, 4, 0
4, 2, 500, 4, 0
4, 2, 500, 4, 1
4, 4, 1000, 14, 1
4, 8, 2000, 34, 1
2, 5, 1250, 26, 0
2, 3, 750, 14, 0
2, 11, 2750, 79, 1
2, 6, 1500, 41, 1
2, 1, 250, 2, 0
2, 1, 250, 2, 0
4, 7, 1750, 58, 0
11, 6, 1500, 27, 0
4, 2, 500, 14, 0
2, 4, 1000, 43, 0
11, 17, 4250, 79, 1
11, 8, 2000, 41, 1
4, 4, 1000, 41, 0
4, 4, 1000, 46, 0
14, 2, 500, 14, 0
9, 1, 250, 9, 0
11, 4, 1000, 34, 0
14, 6, 1500, 51, 0
21, 13, 3250, 57, 0
11, 6, 1500, 71, 0
14, 4, 1000, 40, 0
11, 3, 750, 40, 1
21, 3, 750, 26, 1
23, 8, 2000, 46, 0
16, 1, 250, 16, 0
21, 2, 500, 23, 0
14, 5, 1250, 74, 0
9, 2, 500, 52, 0
21, 2, 500, 25, 0
23, 2, 500, 26, 0
21, 1, 250, 21, 0
21, 5, 1250, 60, 0
14, 3, 750, 83, 0
21, 3, 750, 70, 0
23, 3, 750, 89, 0
35, 3, 750, 64, 0
4, 4, 1000, 4, 1
2, 6, 1500, 26, 0
2, 6, 1500, 26, 1
1, 14, 3500, 95, 0
4, 4, 1000, 16, 0
2, 3, 750, 21, 0
2, 1, 250, 2, 0
4, 1, 250, 4, 0
4, 1, 250, 4, 1
11, 1, 250, 11, 0
11, 1, 250, 11, 1
16, 15, 3750, 87, 0
20, 14, 3500, 69, 1
4, 2, 500, 46, 0
11, 3, 750, 37, 0
14, 1, 250, 14, 0
14, 1, 250, 14, 0
14, 3, 750, 35, 0
14, 2, 500, 29, 0
21, 1, 250, 21, 0
23, 1, 250, 23, 0
23, 4, 1000, 52, 0
23, 7, 1750, 88, 0
21, 2, 500, 52, 0
23, 3, 750, 62, 0
