@relation bloodtransfusion
@attribute Recency(months) integer [0, 74]
@attribute Frequency(times) integer [1, 50]
@attribute Monetary(c.c.Blood) integer [250, 12500]
@attribute Time(months) integer [2, 98]
@attribute Donated(yes/no) {1, 0}
@inputs Recency(months), Frequency(times), Monetary(c.c.Blood), Time(months)
@outputs Donated(yes/no)
@data
0, 13, 3250, 28, 1
4, 11, 2750, 28, 0
2, 13, 3250, 53, 1
2, 2, 500, 2, 0
2, 11, 2750, 46, 0
2, 16, 4000, 81, 0
2, 10, 2500, 49, 0
1, 9, 2250, 51, 0
2, 4, 1000, 16, 0
2, 2, 500, 4, 0
5, 7, 1750, 26, 1
3, 5, 1250, 26, 0
4, 5, 1250, 23, 1
2, 12, 3000, 82, 0
2, 7, 1750, 46, 1
1, 7, 1750, 57, 0
2, 3, 750, 16, 1
2, 5, 1250, 33, 1
4, 8, 2000, 48, 1
4, 6, 1500, 35, 0
2, 1, 250, 2, 0
2, 1, 250, 2, 0
11, 4, 1000, 16, 1
10, 4, 1000, 16, 0
4, 6, 1500, 47, 0
4, 1, 250, 4, 0
11, 12, 3000, 58, 0
11, 2, 500, 11, 0
11, 3, 750, 16, 1
3, 2, 500, 23, 0
11, 5, 1250, 33, 0
16, 12, 3000, 50, 0
16, 3, 750, 19, 0
14, 2, 500, 16, 0
2, 2, 500, 41, 0
16, 6, 1500, 35, 1
11, 1, 250, 11, 1
9, 3, 750, 34, 0
11, 1, 250, 11, 0
14, 4, 1000, 38, 0
14, 7, 1750, 73, 0
16, 10, 2500, 89, 0
16, 1, 250, 16, 0
16, 4, 1000, 45, 0
23, 2, 500, 23, 0
23, 3, 750, 28, 0
16, 7, 1750, 93, 0
23, 14, 3500, 93, 0
23, 2, 500, 26, 0
23, 1, 250, 23, 0
6, 22, 5500, 28, 1
2, 11, 2750, 40, 1
4, 5, 1250, 16, 1
4, 6, 1500, 28, 1
2, 6, 1500, 45, 0
2, 2, 500, 11, 0
9, 9, 2250, 38, 0
2, 1, 250, 2, 1
2, 1, 250, 2, 0
11, 11, 2750, 38, 0
4, 2, 500, 13, 0
4, 1, 250, 4, 0
4, 1, 250, 4, 0
13, 3, 750, 14, 1
11, 4, 1000, 27, 0
7, 5, 1250, 52, 0
14, 8, 2000, 46, 0
4, 2, 500, 31, 0
11, 3, 750, 26, 0
16, 14, 3500, 83, 0
14, 1, 250, 14, 0
21, 2, 500, 26, 0
21, 3, 750, 35, 0
23, 8, 2000, 69, 0
23, 2, 500, 28, 0
