@relation bloodtransfusion
@attribute Recency(months) integer [0, 74]
@attribute Frequency(times) integer [1, 50]
@attribute Monetary(c.c.Blood) integer [250, 12500]
@attribute Time(months) integer [2, 98]
@attribute Donated(yes/no) {1, 0}
@inputs Recency(months), Frequency(times), Monetary(c.c.Blood), Time(months)
@outputs Donated(yes/no)
@data
4, 23, 5750, 58, 0
4, 6, 1500, 14, 0
4, 12, 3000, 34, 1
4, 5, 1250, 11, 1
1, 14, 3500, 58, 0
4, 10, 2500, 28, 1
2, 12, 3000, 47, 1
2, 12, 3000, 52, 0
4, 5, 1250, 14, 1
2, 2, 500, 4, 1
2, 2, 500, 4, 0
2, 4, 1000, 16, 0
4, 2, 500, 4, 0
4, 2, 500, 4, 0
4, 7, 1750, 28, 0
6, 17, 4250, 70, 0
4, 5, 1250, 28, 0
2, 9, 2250, 74, 0
5, 14, 3500, 86, 0
2, 2, 500, 11, 0
2, 1, 250, 2, 1
2, 1, 250, 2, 0
2, 1, 250, 2, 1
4, 5, 1250, 33, 1
2, 3, 750, 22, 0
4, 4, 1000, 26, 1
4, 5, 1250, 35, 1
4, 7, 1750, 52, 0
4, 1, 250, 4, 0
2, 3, 750, 35, 0
11, 14, 3500, 73, 1
16, 7, 1750, 28, 0
7, 2, 500, 16, 0
4, 5, 1250, 58, 0
4, 3, 750, 34, 0
14, 2, 500, 14, 0
14, 2, 500, 14, 0
23, 38, 9500, 98, 0
11, 1, 250, 11, 0
16, 4, 1000, 28, 0
14, 3, 750, 26, 0
11, 2, 500, 24, 0
14, 1, 250, 14, 0
16, 4, 1000, 40, 0
21, 3, 750, 26, 0
16, 1, 250, 16, 0
16, 2, 500, 27, 0
14, 2, 500, 35, 0
11, 3, 750, 76, 0
21, 1, 250, 21, 0
11, 2, 500, 70, 0
23, 3, 750, 41, 0
3, 21, 5250, 42, 1
2, 11, 2750, 23, 0
3, 14, 3500, 35, 0
4, 6, 1500, 14, 0
3, 5, 1250, 12, 1
4, 10, 2500, 28, 1
2, 11, 2750, 41, 1
2, 4, 1000, 11, 0
9, 11, 2750, 49, 1
5, 11, 2750, 75, 0
2, 3, 750, 24, 0
2, 2, 500, 14, 0
2, 7, 1750, 77, 0
4, 1, 250, 4, 0
4, 1, 250, 4, 0
2, 5, 1250, 63, 0
7, 9, 2250, 89, 1
4, 2, 500, 30, 0
16, 10, 2500, 62, 0
16, 3, 750, 35, 0
11, 4, 1000, 74, 0
21, 3, 750, 38, 0
23, 1, 250, 23, 0
