@relation bloodtransfusion
@attribute Recency(months) integer [0, 74]
@attribute Frequency(times) integer [1, 50]
@attribute Monetary(c.c.Blood) integer [250, 12500]
@attribute Time(months) integer [2, 98]
@attribute Donated(yes/no) {1, 0}
@inputs Recency(months), Frequency(times), Monetary(c.c.Blood), Time(months)
@outputs Donated(yes/no)
@data
2, 9, 2250, 22, 1
2, 10, 2500, 28, 1
2, 6, 1500, 15, 1
2, 5, 1250, 11, 1
2, 3, 750, 4, 1
2, 6, 1500, 16, 1
2, 16, 4000, 64, 0
2, 5, 1250, 16, 0
2, 6, 1500, 22, 0
2, 7, 1750, 28, 1
4, 5, 1250, 16, 1
0, 2, 500, 4, 0
2, 2, 500, 4, 0
2, 5, 1250, 37, 0
2, 2, 500, 11, 1
2, 1, 250, 2, 1
2, 1, 250, 2, 0
2, 1, 250, 2, 0
2, 4, 1000, 35, 0
11, 9, 2250, 33, 0
4, 7, 1750, 58, 0
4, 1, 250, 4, 0
4, 1, 250, 4, 1
4, 1, 250, 4, 0
11, 22, 5500, 98, 0
4, 3, 750, 25, 1
9, 2, 500, 11, 0
7, 12, 3000, 86, 0
4, 5, 1250, 58, 0
8, 2, 500, 16, 0
9, 2, 500, 16, 1
11, 5, 1250, 35, 0
11, 5, 1250, 37, 1
14, 8, 2000, 50, 1
16, 6, 1500, 35, 0
11, 1, 250, 11, 0
23, 15, 3750, 57, 0
4, 2, 500, 52, 0
9, 4, 1000, 65, 0
14, 1, 250, 14, 0
11, 4, 1000, 59, 0
16, 1, 250, 16, 0
16, 1, 250, 16, 0
16, 1, 250, 16, 0
11, 2, 500, 52, 0
21, 3, 750, 35, 0
21, 4, 1000, 52, 0
23, 1, 250, 23, 0
23, 3, 750, 48, 0
38, 1, 250, 38, 0
2, 43, 10750, 86, 1
2, 11, 2750, 28, 0
4, 13, 3250, 39, 1
4, 9, 2250, 28, 0
5, 24, 6000, 79, 0
7, 10, 2500, 47, 0
2, 2, 500, 11, 1
11, 5, 1250, 18, 0
2, 1, 250, 2, 0
2, 1, 250, 2, 0
14, 8, 2000, 26, 0
2, 7, 1750, 77, 0
11, 2, 500, 11, 0
8, 9, 2250, 64, 0
6, 3, 750, 26, 0
10, 5, 1250, 38, 0
9, 1, 250, 9, 0
15, 5, 1250, 33, 0
16, 2, 500, 16, 0
11, 8, 2000, 72, 0
11, 1, 250, 11, 0
14, 3, 750, 26, 0
16, 1, 250, 16, 0
21, 2, 500, 33, 0
16, 3, 750, 86, 0
